iteration,episode,score,step
25,0,nan,6400
50,2,-21.0,12800
75,16,-20.5,19200
100,19,-20.57894736842105,25600
125,32,-20.46875,32000
150,32,-20.46875,38400
175,45,-20.444444444444443,44800
200,48,-20.416666666666668,51200
225,58,-20.448275862068964,57600
250,63,-20.41269841269841,64000
275,70,-20.414285714285715,70400
300,79,-20.39240506329114,76800
325,84,-20.428571428571427,83200
350,90,-20.444444444444443,89600
375,95,-20.389473684210525,96000
400,106,-20.33,102400
425,110,-20.32,108800
450,120,-20.36,115200
475,127,-20.31,121600
500,135,-20.31,128000
525,142,-20.31,134400
550,150,-20.35,140800
575,154,-20.34,147200
600,161,-20.35,153600
625,170,-20.29,160000
650,176,-20.26,166400
675,182,-20.23,172800
700,187,-20.22,179200
725,196,-20.22,185600
750,203,-20.24,192000
775,209,-20.3,198400
800,219,-20.24,204800
825,224,-20.28,211200
850,231,-20.31,217600
875,237,-20.33,224000
900,245,-20.35,230400
925,252,-20.32,236800
950,259,-20.32,243200
975,268,-20.38,249600
1000,273,-20.45,256000
1025,284,-20.46,262400
1050,288,-20.49,268800
1075,296,-20.51,275200
1100,302,-20.48,281600
1125,309,-20.45,288000
1150,316,-20.45,294400
1175,321,-20.43,300800
1200,332,-20.41,307200
1225,335,-20.41,313600
1250,341,-20.38,320000
1275,351,-20.4,326400
1300,355,-20.41,332800
1325,367,-20.45,339200
1350,369,-20.46,345600
1375,378,-20.43,352000
1400,383,-20.41,358400
1425,391,-20.39,364800
1450,397,-20.4,371200
1475,404,-20.42,377600
1500,411,-20.41,384000
1525,417,-20.43,390400
1550,426,-20.49,396800
1575,429,-20.49,403200
1600,438,-20.5,409600
1625,445,-20.48,416000
1650,451,-20.48,422400
1675,461,-20.44,428800
1700,467,-20.4,435200
1725,475,-20.44,441600
1750,481,-20.47,448000
1775,490,-20.48,454400
1800,496,-20.49,460800
1825,506,-20.5,467200
1850,511,-20.52,473600
1875,521,-20.54,480000
1900,525,-20.52,486400
1925,533,-20.51,492800
1950,538,-20.49,499200
1975,547,-20.49,505600
2000,554,-20.5,512000
2025,559,-20.48,518400
2050,569,-20.49,524800
2075,575,-20.48,531200
2100,584,-20.48,537600
2125,588,-20.46,544000
2150,599,-20.47,550400
2175,603,-20.48,556800
2200,611,-20.47,563200
2225,618,-20.44,569600
2250,625,-20.44,576000
2275,631,-20.45,582400
2300,639,-20.43,588800
2325,646,-20.41,595200
2350,653,-20.41,601600
2375,661,-20.41,608000
2400,667,-20.42,614400
2425,675,-20.37,620800
2450,680,-20.39,627200
2475,690,-20.42,633600
2500,695,-20.44,640000
2525,704,-20.44,646400
2550,709,-20.43,652800
2575,717,-20.43,659200
2600,724,-20.43,665600
2625,729,-20.38,672000
2650,736,-20.44,678400
2675,742,-20.4,684800
2700,752,-20.41,691200
2725,757,-20.43,697600
2750,767,-20.45,704000
2775,772,-20.42,710400
2800,781,-20.44,716800
2825,787,-20.44,723200
2850,794,-20.41,729600
2875,801,-20.4,736000
2900,807,-20.41,742400
2925,817,-20.46,748800
2950,824,-20.5,755200
2975,833,-20.56,761600
3000,837,-20.57,768000
3025,847,-20.63,774400
3050,851,-20.64,780800
3075,860,-20.61,787200
3100,867,-20.58,793600
3125,874,-20.64,800000
3150,881,-20.65,806400
3175,888,-20.64,812800
3200,895,-20.66,819200
3225,899,-20.64,825600
3250,906,-20.59,832000
3275,914,-20.56,838400
3300,919,-20.55,844800
3325,929,-20.48,851200
3350,933,-20.45,857600
3375,941,-20.41,864000
3400,947,-20.38,870400
3425,953,-20.37,876800
3450,960,-20.38,883200
3475,966,-20.36,889600
3500,976,-20.33,896000
3525,980,-20.33,902400
3550,989,-20.3,908800
3575,993,-20.28,915200
3600,1002,-20.28,921600
3625,1009,-20.27,928000
3650,1016,-20.24,934400
3675,1022,-20.26,940800
3700,1028,-20.25,947200
3725,1035,-20.31,953600
3750,1043,-20.28,960000
3775,1050,-20.29,966400
3800,1057,-20.28,972800
3825,1062,-20.29,979200
3850,1070,-20.33,985600
3875,1076,-20.34,992000
3900,1081,-20.36,998400
3925,1089,-20.32,1004800
3950,1096,-20.35,1011200
3975,1104,-20.36,1017600
4000,1111,-20.35,1024000
4025,1117,-20.37,1030400
4050,1123,-20.34,1036800
4075,1131,-20.36,1043200
4100,1136,-20.36,1049600
4125,1145,-20.37,1056000
4150,1150,-20.38,1062400
4175,1160,-20.39,1068800
4200,1165,-20.37,1075200
4225,1170,-20.37,1081600
4250,1179,-20.34,1088000
4275,1184,-20.35,1094400
4300,1193,-20.37,1100800
4325,1199,-20.36,1107200
4350,1206,-20.38,1113600
4375,1212,-20.35,1120000
4400,1220,-20.35,1126400
4425,1227,-20.39,1132800
4450,1235,-20.39,1139200
4475,1243,-20.43,1145600
4500,1247,-20.44,1152000
4525,1258,-20.43,1158400
4550,1263,-20.45,1164800
4575,1269,-20.45,1171200
4600,1278,-20.49,1177600
4625,1284,-20.48,1184000
4650,1294,-20.5,1190400
4675,1297,-20.51,1196800
4700,1304,-20.47,1203200
4725,1311,-20.46,1209600
4750,1317,-20.48,1216000
4775,1325,-20.51,1222400
4800,1331,-20.5,1228800
4825,1338,-20.48,1235200
4850,1347,-20.41,1241600
4875,1351,-20.4,1248000
4900,1355,-20.4,1254400
4925,1366,-20.31,1260800
4950,1370,-20.32,1267200
4975,1377,-20.33,1273600
5000,1385,-20.33,1280000
5025,1392,-20.3,1286400
5050,1398,-20.27,1292800
5075,1406,-20.29,1299200
5100,1412,-20.28,1305600
5125,1416,-20.29,1312000
5150,1424,-20.23,1318400
5175,1429,-20.18,1324800
5200,1437,-20.19,1331200
5225,1444,-20.2,1337600
5250,1450,-20.21,1344000
5275,1458,-20.19,1350400
5300,1463,-20.24,1356800
5325,1469,-20.24,1363200
5350,1476,-20.21,1369600
5375,1483,-20.17,1376000
5400,1488,-20.18,1382400
5425,1497,-20.2,1388800
5450,1503,-20.23,1395200
5475,1509,-20.26,1401600
5500,1517,-20.29,1408000
5525,1524,-20.33,1414400
5550,1529,-20.39,1420800
5575,1538,-20.36,1427200
5600,1544,-20.39,1433600
5625,1550,-20.36,1440000
5650,1558,-20.4,1446400
5675,1564,-20.4,1452800
5700,1572,-20.41,1459200
5725,1578,-20.39,1465600
5750,1585,-20.39,1472000
5775,1591,-20.41,1478400
5800,1600,-20.41,1484800
5825,1606,-20.38,1491200
5850,1614,-20.39,1497600
5875,1620,-20.4,1504000
5900,1628,-20.37,1510400
5925,1635,-20.36,1516800
5950,1640,-20.41,1523200
5975,1645,-20.37,1529600
6000,1652,-20.34,1536000
6025,1661,-20.32,1542400
6050,1667,-20.3,1548800
6075,1676,-20.33,1555200
6100,1681,-20.37,1561600
6125,1688,-20.37,1568000
6150,1694,-20.36,1574400
6175,1702,-20.35,1580800
6200,1707,-20.37,1587200
6225,1716,-20.37,1593600
6250,1723,-20.37,1600000
6275,1729,-20.36,1606400
6300,1737,-20.35,1612800
6325,1739,-20.33,1619200
6350,1750,-20.39,1625600
6375,1754,-20.36,1632000
6400,1762,-20.4,1638400
6425,1769,-20.42,1644800
6450,1775,-20.4,1651200
6475,1783,-20.38,1657600
6500,1789,-20.34,1664000
6525,1798,-20.35,1670400
6550,1803,-20.38,1676800
6575,1809,-20.36,1683200
6600,1816,-20.32,1689600
6625,1822,-20.31,1696000
6650,1830,-20.3,1702400
6675,1836,-20.28,1708800
6700,1842,-20.27,1715200
6725,1848,-20.23,1721600
6750,1855,-20.28,1728000
6775,1864,-20.25,1734400
6800,1867,-20.27,1740800
6825,1877,-20.22,1747200
6850,1881,-20.22,1753600
6875,1889,-20.26,1760000
6900,1896,-20.25,1766400
6925,1902,-20.22,1772800
6950,1911,-20.24,1779200
6975,1914,-20.26,1785600
7000,1923,-20.28,1792000
7025,1929,-20.26,1798400
7050,1937,-20.31,1804800
7075,1944,-20.31,1811200
7100,1951,-20.31,1817600
7125,1956,-20.33,1824000
7150,1965,-20.31,1830400
7175,1971,-20.3,1836800
7200,1977,-20.37,1843200
7225,1984,-20.32,1849600
7250,1990,-20.27,1856000
7275,1999,-20.32,1862400
7300,2004,-20.32,1868800
7325,2011,-20.31,1875200
7350,2019,-20.34,1881600
7375,2023,-20.33,1888000
7400,2031,-20.28,1894400
7425,2038,-20.21,1900800
7450,2046,-20.2,1907200
7475,2052,-20.22,1913600
7500,2058,-20.24,1920000
7525,2066,-20.24,1926400
7550,2072,-20.21,1932800
7575,2079,-20.22,1939200
7600,2085,-20.29,1945600
7625,2093,-20.32,1952000
7650,2098,-20.32,1958400
7675,2106,-20.33,1964800
7700,2113,-20.3,1971200
7725,2119,-20.29,1977600
7750,2126,-20.32,1984000
7775,2132,-20.37,1990400
7800,2140,-20.44,1996800
7825,2147,-20.45,2003200
7850,2154,-20.47,2009600
7875,2163,-20.47,2016000
7900,2168,-20.5,2022400
7925,2177,-20.45,2028800
7950,2181,-20.44,2035200
7975,2188,-20.42,2041600
8000,2197,-20.4,2048000
8025,2200,-20.39,2054400
8050,2210,-20.41,2060800
8075,2214,-20.42,2067200
8100,2223,-20.41,2073600
8125,2228,-20.38,2080000
8150,2236,-20.4,2086400
8175,2243,-20.39,2092800
8200,2249,-20.37,2099200
8225,2257,-20.38,2105600
8250,2261,-20.39,2112000
8275,2273,-20.37,2118400
8300,2275,-20.38,2124800
8325,2284,-20.35,2131200
8350,2290,-20.3,2137600
8375,2297,-20.29,2144000
8400,2304,-20.28,2150400
8425,2311,-20.28,2156800
8450,2316,-20.27,2163200
8475,2324,-20.26,2169600
8500,2331,-20.3,2176000
8525,2338,-20.31,2182400
8550,2345,-20.3,2188800
8575,2351,-20.3,2195200
8600,2358,-20.29,2201600
8625,2366,-20.3,2208000
8650,2372,-20.36,2214400
8675,2379,-20.36,2220800
8700,2385,-20.33,2227200
8725,2391,-20.33,2233600
8750,2401,-20.33,2240000
8775,2404,-20.33,2246400
8800,2413,-20.33,2252800
8825,2420,-20.38,2259200
8850,2423,-20.38,2265600
8875,2435,-20.35,2272000
8900,2437,-20.34,2278400
8925,2448,-20.34,2284800
8950,2451,-20.31,2291200
8975,2462,-20.35,2297600
9000,2465,-20.34,2304000
9025,2475,-20.3,2310400
9050,2480,-20.29,2316800
9075,2484,-20.27,2323200
9100,2495,-20.31,2329600
9125,2497,-20.32,2336000
9150,2508,-20.31,2342400
9175,2513,-20.31,2348800
9200,2516,-20.31,2355200
9225,2528,-20.23,2361600
9250,2530,-20.25,2368000
9275,2539,-20.28,2374400
9300,2545,-20.22,2380800
9325,2554,-20.25,2387200
9350,2560,-20.25,2393600
9375,2563,-20.23,2400000
9400,2573,-20.24,2406400
9425,2577,-20.26,2412800
9450,2588,-20.28,2419200
9475,2591,-20.32,2425600
9500,2600,-20.3,2432000
9525,2605,-20.31,2438400
9550,2611,-20.35,2444800
9575,2621,-20.31,2451200
9600,2624,-20.33,2457600
9625,2632,-20.35,2464000
9650,2640,-20.32,2470400
9675,2646,-20.38,2476800
9700,2653,-20.37,2483200
9725,2660,-20.32,2489600
9750,2666,-20.29,2496000
9775,2675,-20.29,2502400
9800,2681,-20.3,2508800
9825,2689,-20.31,2515200
9850,2695,-20.34,2521600
9875,2701,-20.36,2528000
9900,2707,-20.36,2534400
9925,2715,-20.36,2540800
9950,2722,-20.39,2547200
9975,2728,-20.37,2553600
10000,2736,-20.35,2560000
10025,2741,-20.35,2566400
10050,2748,-20.33,2572800
10075,2756,-20.34,2579200
10100,2760,-20.35,2585600
10125,2769,-20.42,2592000
10150,2773,-20.4,2598400
10175,2782,-20.39,2604800
10200,2788,-20.37,2611200
10225,2795,-20.35,2617600
10250,2802,-20.31,2624000
10275,2808,-20.27,2630400
10300,2815,-20.25,2636800
10325,2820,-20.25,2643200
10350,2827,-20.21,2649600
10375,2835,-20.22,2656000
10400,2841,-20.21,2662400
10425,2849,-20.24,2668800
10450,2855,-20.22,2675200
10475,2861,-20.22,2681600
10500,2867,-20.18,2688000
10525,2875,-20.2,2694400
10550,2882,-20.2,2700800
10575,2887,-20.18,2707200
10600,2893,-20.12,2713600
10625,2901,-20.12,2720000
10650,2908,-20.15,2726400
10675,2915,-20.17,2732800
10700,2922,-20.16,2739200
10725,2928,-20.18,2745600
10750,2934,-20.2,2752000
10775,2943,-20.24,2758400
10800,2949,-20.19,2764800
10825,2956,-20.22,2771200
10850,2964,-20.3,2777600
10875,2971,-20.32,2784000
10900,2980,-20.31,2790400
10925,2985,-20.37,2796800
10950,2994,-20.44,2803200
10975,3000,-20.5,2809600
11000,3008,-20.5,2816000
11025,3014,-20.51,2822400
11050,3021,-20.53,2828800
11075,3028,-20.55,2835200
11100,3033,-20.52,2841600
11125,3041,-20.51,2848000
11150,3048,-20.5,2854400
11175,3054,-20.51,2860800
11200,3062,-20.5,2867200
11225,3070,-20.48,2873600
11250,3075,-20.51,2880000
11275,3084,-20.51,2886400
11300,3090,-20.47,2892800
11325,3098,-20.48,2899200
11350,3105,-20.51,2905600
11375,3112,-20.52,2912000
11400,3119,-20.49,2918400
11425,3127,-20.54,2924800
11450,3135,-20.56,2931200
11475,3141,-20.53,2937600
11500,3148,-20.56,2944000
11525,3154,-20.55,2950400
11550,3162,-20.51,2956800
11575,3168,-20.51,2963200
11600,3174,-20.47,2969600
11625,3180,-20.39,2976000
11650,3186,-20.36,2982400
11675,3192,-20.35,2988800
11700,3199,-20.36,2995200
11725,3206,-20.33,3001600
11750,3213,-20.32,3008000
11775,3221,-20.32,3014400
11800,3227,-20.29,3020800
11825,3235,-20.29,3027200
11850,3238,-20.28,3033600
11875,3247,-20.19,3040000
11900,3252,-20.2,3046400
11925,3259,-20.19,3052800
11950,3267,-20.21,3059200
11975,3270,-20.22,3065600
12000,3280,-20.26,3072000
12025,3286,-20.3,3078400
12050,3293,-20.32,3084800
12075,3300,-20.26,3091200
12100,3305,-20.28,3097600
12125,3313,-20.24,3104000
12150,3320,-20.23,3110400
12175,3328,-20.24,3116800
12200,3334,-20.24,3123200
12225,3339,-20.26,3129600
12250,3349,-20.32,3136000
12275,3352,-20.33,3142400
12300,3362,-20.32,3148800
12325,3366,-20.33,3155200
12350,3375,-20.34,3161600
12375,3381,-20.31,3168000
12400,3387,-20.31,3174400
12425,3395,-20.29,3180800
12450,3401,-20.32,3187200
12475,3410,-20.32,3193600
12500,3414,-20.36,3200000
12525,3423,-20.39,3206400
12550,3428,-20.39,3212800
12575,3434,-20.37,3219200
12600,3443,-20.36,3225600
12625,3446,-20.35,3232000
12650,3456,-20.33,3238400
12675,3462,-20.31,3244800
12700,3471,-20.3,3251200
12725,3475,-20.34,3257600
12750,3483,-20.37,3264000
12775,3490,-20.38,3270400
12800,3495,-20.34,3276800
