iteration,episode,score,step
25,42,3.857142857142857,12800
50,94,4.074468085106383,25600
75,142,5.34,38400
100,185,6.93,51200
125,223,7.72,64000
150,266,7.66,76800
175,313,7.22,89600
200,360,7.45,102400
225,410,6.35,115200
250,458,6.27,128000
275,505,7.28,140800
300,555,6.83,153600
325,603,6.8,166400
350,644,7.78,179200
375,691,7.99,192000
400,741,7.04,204800
425,788,6.84,217600
450,835,7.36,230400
475,886,7.03,243200
500,932,6.94,256000
525,980,7.25,268800
550,1024,7.21,281600
575,1068,7.43,294400
600,1113,7.21,307200
625,1158,7.09,320000
650,1207,7.56,332800
675,1252,7.33,345600
700,1300,7.0,358400
725,1346,7.14,371200
750,1395,7.62,384000
775,1439,8.25,396800
800,1485,8.26,409600
825,1526,7.7,422400
850,1572,6.76,435200
875,1619,5.82,448000
900,1665,6.43,460800
925,1710,6.76,473600
950,1757,6.79,486400
975,1803,7.24,499200
1000,1849,7.21,512000
1025,1893,7.19,524800
1050,1938,7.28,537600
1075,1985,7.13,550400
1100,2031,7.57,563200
1125,2075,7.6,576000
1150,2120,7.64,588800
1175,2167,7.48,601600
1200,2210,6.95,614400
1225,2255,7.26,627200
1250,2298,7.57,640000
1275,2345,6.89,652800
1300,2383,6.85,665600
1325,2426,7.06,678400
1350,2468,6.96,691200
1375,2508,6.77,704000
1400,2552,6.65,716800
1425,2595,6.31,729600
1450,2639,7.04,742400
1475,2685,7.21,755200
1500,2722,7.06,768000
1525,2765,7.01,780800
1550,2805,7.57,793600
1575,2845,7.85,806400
1600,2886,7.53,819200
1625,2925,7.58,832000
1650,2967,7.28,844800
1675,3006,7.03,857600
1700,3049,7.12,870400
1725,3089,7.74,883200
1750,3129,7.86,896000
1775,3166,8.51,908800
1800,3204,7.81,921600
1825,3246,8.0,934400
1850,3284,7.76,947200
1875,3322,8.31,960000
1900,3360,8.71,972800
1925,3399,8.71,985600
1950,3434,9.39,998400
1975,3470,9.28,1011200
2000,3502,9.72,1024000
2025,3534,9.78,1036800
2050,3568,10.06,1049600
2075,3598,11.13,1062400
2100,3628,11.85,1075200
2125,3658,11.99,1088000
2150,3687,11.58,1100800
2175,3719,10.68,1113600
2200,3755,9.7,1126400
2225,3784,11.36,1139200
2250,3809,12.03,1152000
2275,3837,13.58,1164800
2300,3865,14.51,1177600
2325,3888,15.07,1190400
2350,3917,15.32,1203200
2375,3936,15.62,1216000
2400,3960,17.65,1228800
2425,3984,19.04,1241600
2450,4005,20.32,1254400
2475,4027,21.52,1267200
2500,4047,21.49,1280000
2525,4074,21.0,1292800
2550,4098,18.86,1305600
2575,4118,18.77,1318400
2600,4142,18.87,1331200
2625,4166,17.64,1344000
2650,4187,20.21,1356800
2675,4206,20.44,1369600
2700,4223,20.86,1382400
2725,4247,22.63,1395200
2750,4266,23.94,1408000
2775,4285,25.2,1420800
2800,4309,25.32,1433600
2825,4330,25.21,1446400
2850,4349,25.26,1459200
2875,4367,25.43,1472000
2900,4386,25.32,1484800
2925,4406,26.88,1497600
2950,4424,28.06,1510400
2975,4443,28.84,1523200
3000,4458,29.71,1536000
3025,4479,30.55,1548800
3050,4500,29.4,1561600
3075,4515,29.53,1574400
3100,4535,29.69,1587200
3125,4551,29.25,1600000
3150,4567,28.82,1612800
3175,4580,31.11,1625600
3200,4595,32.64,1638400
3225,4611,34.01,1651200
3250,4628,34.95,1664000
3275,4641,38.91,1676800
3300,4654,40.42,1689600
3325,4671,41.49,1702400
3350,4690,40.11,1715200
3375,4701,40.0,1728000
3400,4718,44.13,1740800
3425,4737,41.06,1753600
3450,4751,37.16,1766400
3475,4765,36.86,1779200
3500,4781,38.49,1792000
3525,4795,38.83,1804800
