iteration,episode,score,step
25,322,6.65,76800
50,585,9.44,153600
75,838,9.54,230400
100,1098,9.65,307200
125,1370,9.2,384000
150,1640,9.12,460800
175,1913,8.59,537600
200,2185,8.36,614400
225,2461,8.76,691200
250,2737,8.76,768000
275,3016,8.92,844800
300,3292,8.8,921600
325,3571,8.56,998400
350,3863,7.6,1075200
375,4142,8.6,1152000
400,4419,8.76,1228800
425,4698,8.6,1305600
450,4984,8.88,1382400
475,5253,9.08,1459200
500,5534,8.36,1536000
525,5811,8.84,1612800
550,6092,9.36,1689600
575,6372,8.8,1766400
600,6655,8.68,1843200
625,6928,9.52,1920000
650,7205,9.51,1996800
675,7491,10.6,2073600
700,7777,10.96,2150400
725,8065,11.0,2227200
750,8352,10.74,2304000
775,8640,10.96,2380800
800,8928,11.0,2457600
825,9214,11.0,2534400
850,9502,11.0,2611200
875,9790,11.0,2688000
900,10077,11.0,2764800
925,10365,11.0,2841600
950,10652,11.0,2918400
975,10940,11.0,2995200
1000,11229,10.92,3072000
1025,11517,11.0,3148800
1050,11802,10.96,3225600
1075,12090,11.0,3302400
1100,12379,10.92,3379200
1125,12664,11.0,3456000
1150,12952,10.96,3532800
1175,13241,11.0,3609600
1200,13527,10.96,3686400
1225,13815,10.96,3763200
1250,14102,10.96,3840000
1275,14390,11.0,3916800
1300,14677,11.0,3993600
1325,14966,11.0,4070400
1350,15253,11.0,4147200
1375,15541,11.0,4224000
1400,15829,11.0,4300800
1425,16117,11.0,4377600
1450,16405,10.92,4454400
1475,16691,11.0,4531200
1500,16979,11.0,4608000
1525,17267,11.0,4684800
1550,17555,10.93,4761600
1575,17843,11.0,4838400
1600,18131,11.0,4915200
1625,18419,11.0,4992000
1650,18707,11.0,5068800
1675,18995,11.0,5145600
1700,19283,11.0,5222400
1725,19570,10.97,5299200
1750,19859,10.88,5376000
1775,20147,10.92,5452800
1800,20435,11.0,5529600
1825,20723,11.0,5606400
1850,21011,11.0,5683200
1875,21299,11.0,5760000
1900,21587,11.0,5836800
1925,21875,11.0,5913600
1950,22163,10.96,5990400
1975,22451,11.0,6067200
2000,22739,11.0,6144000
2025,23027,11.0,6220800
2050,23314,10.76,6297600
2075,23601,11.0,6374400
2100,23890,11.0,6451200
2125,24178,10.96,6528000
2150,24466,10.96,6604800
2175,24754,10.56,6681600
2200,25025,10.76,6758400
2225,25305,10.9,6835200
2250,25593,11.0,6912000
2275,25881,11.0,6988800
2300,26169,11.0,7065600
2325,26457,11.0,7142400
2350,26745,11.0,7219200
2375,27032,10.96,7296000
2400,27320,11.0,7372800
2425,27607,11.0,7449600
2450,27895,11.0,7526400
2475,28183,11.0,7603200
2500,28471,11.0,7680000
2525,28759,11.0,7756800
2550,29046,11.0,7833600
2575,29334,10.96,7910400
2600,29622,11.0,7987200
2625,29910,11.0,8064000
2650,30198,11.0,8140800
2675,30485,10.96,8217600
2700,30773,11.0,8294400
2725,31061,11.0,8371200
2750,31348,10.96,8448000
2775,31636,10.92,8524800
2800,31924,11.0,8601600
2825,32212,11.0,8678400
2850,32500,11.0,8755200
2875,32788,11.0,8832000
2900,33075,11.0,8908800
2925,33363,11.0,8985600
2950,33651,11.0,9062400
2975,33939,11.0,9139200
3000,34225,11.0,9216000
3025,34512,11.0,9292800
3050,34799,11.0,9369600
3075,35087,11.0,9446400
3100,35374,11.0,9523200
3125,35662,10.56,9600000
3150,35950,11.0,9676800
3175,36239,11.0,9753600
3200,36526,11.0,9830400
3225,36813,10.92,9907200
3250,37103,10.88,9984000
3275,37390,11.0,10060800
3300,37678,10.96,10137600
3325,37966,11.0,10214400
3350,38253,11.0,10291200
3375,38541,11.0,10368000
3400,38827,10.96,10444800
3425,39115,11.0,10521600
3450,39403,11.0,10598400
3475,39691,11.0,10675200
3500,39979,11.0,10752000
